model_used,perturbed_standard_deviation,data_size,knn,percentage_of_known_labels,α,β,unperturbed_accuracy,perturbed_accuracy,perturbed_difference
1,0.1,3560,15,5.0,0.1,0.1,80.42578356002366,80.27794204612655,-0.14784151389710587
1,0.4,3560,15,5.0,0.1,0.1,80.81017149615613,81.22412773506801,0.4139562389118794
1,0.6,3560,15,5.0,0.1,0.1,80.6327616794796,75.66528681253696,-4.967474866942638
1,0.8,3560,15,5.0,0.1,0.1,82.05204021289177,74.36428149024246,-7.687758722649306
1,1.0,3560,15,5.0,0.1,0.1,80.66232998225902,53.4594914251922,-27.202838557066826
