model_used,perturbed_standard_deviation,data_size,knn,percentage_of_known_labels,α,β,unperturbed_accuracy,perturbed_accuracy,perturbed_difference
1,0.25,590,15,25.0,0.1,0.1,83.55203619909503,83.05429864253394,-0.49773755656108987
1,0.25,590,15,30.0,0.1,0.1,84.73300970873785,84.44174757281553,-0.2912621359223294
1,0.5,590,15,25.0,0.1,0.1,83.28054298642533,81.26696832579185,-2.0135746606334863
1,0.5,590,15,30.0,0.1,0.1,84.29611650485438,82.9368932038835,-1.3592233009708736
1,0.75,590,15,25.0,0.1,0.1,82.94117647058825,78.5972850678733,-4.343891402714931
1,0.75,590,15,30.0,0.1,0.1,84.63592233009707,79.92718446601941,-4.708737864077664
1,1.0,590,15,25.0,0.1,0.1,83.55203619909503,65.31674208144797,-18.235294117647065
1,1.0,590,15,30.0,0.1,0.1,85.0,72.08737864077669,-12.912621359223294
