convergent_solution_L2_difference,error_matrix_L2,percentage_of_known_labels,model_used,perturbed_standard_deviation,data_size,knn,α,β
0.0,0.0,5.0,LS,0.0,3560,15,0.1,0.9
0.0,0.0,10.0,LS,0.0,3560,15,0.1,0.9
0.0,0.0,15.0,LS,0.0,3560,15,0.1,0.9
0.0,0.0,20.0,LS,0.0,3560,15,0.1,0.9
1.7995052182407683,8.94149781304601,5.0,LS,0.05,3560,15,0.1,0.9
2.564919799263059,8.97281904057339,10.0,LS,0.05,3560,15,0.1,0.9
3.1012360681892743,8.954912742124613,15.0,LS,0.05,3560,15,0.1,0.9
3.601512368483437,8.933606040490835,20.0,LS,0.05,3560,15,0.1,0.9
3.5827128158683634,17.918470591605164,5.0,LS,0.1,3560,15,0.1,0.9
5.093942108039913,17.96105631327851,10.0,LS,0.1,3560,15,0.1,0.9
6.21235067901481,17.91307499045852,15.0,LS,0.1,3560,15,0.1,0.9
7.1915445102412505,17.846560863175657,20.0,LS,0.1,3560,15,0.1,0.9
5.428223783337243,26.860007361891086,5.0,LS,0.15,3560,15,0.1,0.9
7.67557977403372,26.86518088363216,10.0,LS,0.15,3560,15,0.1,0.9
9.364820515689766,26.885663265764855,15.0,LS,0.15,3560,15,0.1,0.9
10.882278658553918,26.867126136130413,20.0,LS,0.15,3560,15,0.1,0.9
7.269548381245537,35.79642955005706,5.0,LS,0.2,3560,15,0.1,0.9
10.193847022255554,35.87013011842855,10.0,LS,0.2,3560,15,0.1,0.9
12.46757360529303,35.879866510114894,15.0,LS,0.2,3560,15,0.1,0.9
14.343986224070369,35.714640680042145,20.0,LS,0.2,3560,15,0.1,0.9
9.013675595483207,44.86820456422487,5.0,LS,0.25,3560,15,0.1,0.9
12.661294771237987,44.824373235795505,10.0,LS,0.25,3560,15,0.1,0.9
15.516407285592589,44.725348329829266,15.0,LS,0.25,3560,15,0.1,0.9
18.017743854726337,44.66856767763781,20.0,LS,0.25,3560,15,0.1,0.9
10.862523076823392,53.87482508546136,5.0,LS,0.3,3560,15,0.1,0.9
15.389828450223627,53.72035918389359,10.0,LS,0.3,3560,15,0.1,0.9
18.815130780084903,53.797710186288235,15.0,LS,0.3,3560,15,0.1,0.9
21.62520335780158,53.79772422221504,20.0,LS,0.3,3560,15,0.1,0.9
12.481940214044496,62.7903147418103,5.0,LS,0.35,3560,15,0.1,0.9
17.861880479062176,62.506312818125046,10.0,LS,0.35,3560,15,0.1,0.9
21.868373039774365,62.74169344732279,15.0,LS,0.35,3560,15,0.1,0.9
25.380189246072774,62.89514407434608,20.0,LS,0.35,3560,15,0.1,0.9
14.360150816382424,71.5291283045149,5.0,LS,0.4,3560,15,0.1,0.9
20.341586851101795,71.67601494181524,10.0,LS,0.4,3560,15,0.1,0.9
24.969568838795343,71.55476380148015,15.0,LS,0.4,3560,15,0.1,0.9
28.909794797416716,71.67012483004603,20.0,LS,0.4,3560,15,0.1,0.9
16.068017325836813,80.31415404934351,5.0,LS,0.45,3560,15,0.1,0.9
22.83169839010954,80.31631934261732,10.0,LS,0.45,3560,15,0.1,0.9
28.233113950051262,80.59700564471936,15.0,LS,0.45,3560,15,0.1,0.9
32.7197643193697,80.6093713372366,20.0,LS,0.45,3560,15,0.1,0.9
18.33964196958497,89.52584256602144,5.0,LS,0.5,3560,15,0.1,0.9
25.25265734807945,89.35945374025178,10.0,LS,0.5,3560,15,0.1,0.9
31.092498568001133,89.36291332725641,15.0,LS,0.5,3560,15,0.1,0.9
35.91757521734793,89.55485730637494,20.0,LS,0.5,3560,15,0.1,0.9
19.735110558919263,98.46560500719636,5.0,LS,0.55,3560,15,0.1,0.9
28.03685339911495,98.57730552694021,10.0,LS,0.55,3560,15,0.1,0.9
34.394500084455125,98.40449933824831,15.0,LS,0.55,3560,15,0.1,0.9
39.58545610937018,98.62020680434759,20.0,LS,0.55,3560,15,0.1,0.9
21.498328144205338,107.13256453177436,5.0,LS,0.6,3560,15,0.1,0.9
30.22184358681571,107.54499315583493,10.0,LS,0.6,3560,15,0.1,0.9
37.11219357933425,107.42664784753376,15.0,LS,0.6,3560,15,0.1,0.9
43.13168651847254,107.21933063948124,20.0,LS,0.6,3560,15,0.1,0.9
23.806918352830984,116.18011583993182,5.0,LS,0.65,3560,15,0.1,0.9
33.363249384472006,116.30559191918596,10.0,LS,0.65,3560,15,0.1,0.9
40.60037742107536,116.4015027397573,15.0,LS,0.65,3560,15,0.1,0.9
46.872396694899535,116.11466151056284,20.0,LS,0.65,3560,15,0.1,0.9
25.005882830118715,125.34519834725548,5.0,LS,0.7,3560,15,0.1,0.9
35.73161939125971,125.36185195334176,10.0,LS,0.7,3560,15,0.1,0.9
43.8138631393762,125.35794020778496,15.0,LS,0.7,3560,15,0.1,0.9
49.933427255179666,125.06274257175394,20.0,LS,0.7,3560,15,0.1,0.9
27.047929610826987,133.8187911596354,5.0,LS,0.75,3560,15,0.1,0.9
38.72884841286604,134.70118794103797,10.0,LS,0.75,3560,15,0.1,0.9
46.609062173085285,133.74521857455724,15.0,LS,0.75,3560,15,0.1,0.9
53.78951184424305,134.3315767815011,20.0,LS,0.75,3560,15,0.1,0.9
28.544666611271815,142.88177636980356,5.0,LS,0.8,3560,15,0.1,0.9
40.77554621174786,142.47849925055036,10.0,LS,0.8,3560,15,0.1,0.9
49.644383712738964,143.3195314090886,15.0,LS,0.8,3560,15,0.1,0.9
57.51874859258969,143.4327356164682,20.0,LS,0.8,3560,15,0.1,0.9
30.555330213899083,152.36371515514298,5.0,LS,0.85,3560,15,0.1,0.9
43.24258081024901,152.01044060506274,10.0,LS,0.85,3560,15,0.1,0.9
52.87029266452512,151.8788195968584,15.0,LS,0.85,3560,15,0.1,0.9
61.179288211977244,151.7142524626749,20.0,LS,0.85,3560,15,0.1,0.9
32.42723274549805,161.06300004714745,5.0,LS,0.9,3560,15,0.1,0.9
45.85742274267541,160.75533298202635,10.0,LS,0.9,3560,15,0.1,0.9
55.74278985698784,161.03539675106975,15.0,LS,0.9,3560,15,0.1,0.9
65.05404194240884,161.20044740238114,20.0,LS,0.9,3560,15,0.1,0.9
34.587926121214686,169.8516878916401,5.0,LS,0.95,3560,15,0.1,0.9
48.405649394019434,169.97080485647604,10.0,LS,0.95,3560,15,0.1,0.9
59.475126531474174,170.05566886664658,15.0,LS,0.95,3560,15,0.1,0.9
68.22244916146784,169.3524943887004,20.0,LS,0.95,3560,15,0.1,0.9
36.35346219124749,178.76589825727905,5.0,LS,1.0,3560,15,0.1,0.9
51.111418068505714,179.33698878419963,10.0,LS,1.0,3560,15,0.1,0.9
61.94433960524098,178.14176076582254,15.0,LS,1.0,3560,15,0.1,0.9
71.45815290684243,178.45455248045943,20.0,LS,1.0,3560,15,0.1,0.9
