convergent_solution_L2_difference,error_matrix_L2,percentage_of_known_labels,model_used,perturbed_standard_deviation,data_size,knn,α,β
0.0,0.0,30.0,1,0.0,590,15,0.1,0.1
0.4840747941158643,0.6981104432915743,30.0,1,0.05,590,15,0.1,0.1
0.9807054132962936,1.3982812738606065,30.0,1,0.1,590,15,0.1,0.1
1.4522094960550087,2.086049069359313,30.0,1,0.15,590,15,0.1,0.1
2.0905866847933803,2.8642420245484943,30.0,1,0.2,590,15,0.1,0.1
2.5972103138256477,3.5169175660901786,30.0,1,0.25,590,15,0.1,0.1
3.331429072181357,4.358000964260162,30.0,1,0.3,590,15,0.1,0.1
3.941269288131109,5.015387891851522,30.0,1,0.35,590,15,0.1,0.1
4.447058725827782,5.646424325383229,30.0,1,0.4,590,15,0.1,0.1
4.960138936938027,6.168092640859139,30.0,1,0.45,590,15,0.1,0.1
5.541134614750641,6.823315643476396,30.0,1,0.5,590,15,0.1,0.1
6.2525350174496985,7.560991875832357,30.0,1,0.55,590,15,0.1,0.1
6.729156408229249,8.07462106441337,30.0,1,0.6,590,15,0.1,0.1
6.850649951265159,8.1711705043765,30.0,1,0.65,590,15,0.1,0.1
7.320444502358012,8.671195948683602,30.0,1,0.7,590,15,0.1,0.1
7.6933283815871105,9.037972585228124,30.0,1,0.75,590,15,0.1,0.1
7.86411958974171,9.210116856608805,30.0,1,0.8,590,15,0.1,0.1
7.987615269148833,9.325389360185588,30.0,1,0.85,590,15,0.1,0.1
8.312665428653311,9.627142506823628,30.0,1,0.9,590,15,0.1,0.1
8.6410014998506,9.942026719442863,30.0,1,0.95,590,15,0.1,0.1
9.039864916521697,10.29693113080111,30.0,1,1.0,590,15,0.1,0.1
