method_name,size,knn,percentage_of_known_labels,α,β,balanced,noise,acc,prec,rec
Rice31,3560,15,500.0,0.1,0.1,true,0,84.10112359550563,84.46435123252706,84.14418512976366
Rice31,3560,15,1000.0,0.1,0.1,true,0,87.2752808988764,87.78954575355348,87.25047838467692
Rice31,3560,15,1500.0,0.1,0.1,true,0,90.19662921348315,90.27634978555977,90.20772528673824
Rice31,3560,15,2000.0,0.1,0.1,true,0,92.47191011235955,92.52529509161191,92.47022563078585
